name,rating,date,text,text_clean,text_final,sentimen
Alfarabi,4,5 bulan lalu,"Kalo kawan-kawan mau kesini dengan keluarga harus memperhatikan 3 hal :
Pantai Mutun itu ada 3 lokasi :
1. Lokasi yang masuknya tanpa palang gerbang alias dikelola warga lokal, akan dikenakan tarif 50 ribu per mobil (sudah termasuk orang2 yang ada di dalam mobil), lokasi pantainya sempit dan banyak banget orangnya kalo disini cocok untuk tipe orang ekstrovert
2. Lokasi yang masuknya ada palang keluar masuk mobil dan dipagar keliling pantainya. Tiket masuk aku dengan keluarga 3 orang tarifnya 65 ribu. Terus sewa gazebo 50 ribu. Pantainya bagus, pasirnya luas, lebih enak ketimbang yang pertama. Banyak permainan untuk dilautnya juga, banana boat dll.
3. Lokasi ke tiga ini aku belum pernah, tapi mirip2 dengan lokasi kedua.",kalau kawankawan mau kesini keluarga memperhatikan pantai mutun lokasi lokasi masuknya palang gerbang alias dikelola warga lokal dikenakan tarif ribu per mobil termasuk orang mobil lokasi pantainya sempit banyak banget orangnya kalau disini cocok tipe orang ekstrovert lokasi masuknya palang keluar masuk mobil dipagar keliling pantainya tiket masuk aku keluarga orang tarifnya ribu terus sewa gazebo ribu pantainya bagus pasirnya luas lebih enak ketimbang pertama banyak permainan dilautnya banana boat lokasi tiga aku belum pernah mirip lokasi kedua,kalau kawankawan mau kesini keluarga perhati pantai mutun lokasi lokasi masuk palang gerbang alias kelola warga lokal kena tarif ribu per mobil masuk orang mobil lokasi pantai sempit banyak banget orang kalau sini cocok tipe orang ekstrovert lokasi masuk palang keluar masuk mobil pagar keliling pantai tiket masuk aku keluarga orang tarif ribu terus sewa gazebo ribu pantai bagus pasir luas lebih enak ketimbang pertama banyak main laut banana boat lokasi tiga aku belum pernah mirip lokasi dua,positif
An toni,5,6 bulan lalu,"Pantai Mutun di Pesawaran, hanya sekitar 30–45 menit dari pusat Bandar Lampung, tampil memesona dengan pasir putihnya yang lembut dan laut jernih yang tenang — tempat yang sempurna untuk berenang atau bermain air bagi keluarga. Fasilitas di sana sangat lengkap: gazebo rindang, toilet, mushola, warung makanan, hingga lahan parkir yang luas, membuat kunjungan terasa nyaman. Di sana kamu juga bisa mencoba berbagai wahana seru seperti banana boat, jetski, hingga penyeberangan ke Pulau Tangkil. Tiket masuk dan tarif parkirnya masih sangat bersahabat di kantong. Dengan semua kelebihan itu, Mutun layak jadi destinasi liburan andalan akhir pekan — rindang, rileks, dan tetap terjangkau di Lampung.",pantai mutun pesawaran menit pusat bandar lampung tampil memesona pasir putihnya lembut laut jernih tenang tempat sempurna berenang bermain air keluarga fasilitas sana sangat lengkap gazebo rindang toilet mushola warung makanan hingga lahan parkir luas membuat kunjungan terasa nyaman sana kamu mencoba berbagai wahana seru banana boat jetski hingga penyeberangan pulau tangkil tiket masuk tarif parkirnya sangat bersahabat kantong semua kelebihan mutun layak jadi destinasi liburan andalan akhir pekan rindang rileks tetap terjangkau lampung,pantai mutun sawar menit pusat bandar lampung tampil pesona pasir putih lembut laut jernih tenang tempat sempurna renang main air keluarga fasilitas sana sangat lengkap gazebo rindang toilet mushola warung makan hingga lahan parkir luas buat kunjung asa nyaman sana kamu coba bagai wahana seru banana boat jetski hingga seberang pulau tangkil tiket masuk tarif parkir sangat sahabat kantong semua lebih mutun layak jadi destinasi libur andal akhir pekan rindang rileks tetap jangkau lampung,positif
Elisia Calistaa,1,6 bulan lalu,"Pantainya bagus, cuma banyak sampahnya. Jadi hilang keindahannya karena sampah.

Dan pengawasnya gak jelas. Nyuruh motor saya parkir di tempat parkir, tapi banyak pengunjung serta pengawas lain parkir di samping dan sebelah gazebo. Saya ditegur karena memindahkan motor saya ke dekat gazebo, namun saya bertanya ke pengawas ""kamu negor saya, kenapa ngga negor mereka?"" (Sambil menunjuk motor yang parkirnya disamping gasebo). Dan jawabannya ""Karena gak keliatan BOS""... Bro, maksud saya kalo emang parkirnya di tempat parkir, ya motor motor mereka juga harus disanalah. Cuma karena ""GAK DILIAT BOS dan DILIAT BOS"" Penjilat lu bang? Mikir bang",pantainya bagus cuma banyak sampahnya jadi hilang keindahannya sampah pengawasnya tidak jelas nyuruh motor parkir tempat parkir banyak pengunjung pengawas parkir samping sebelah gazebo ditegur memindahkan motor dekat gazebo bertanya pengawas kamu negor ngga negor menunjuk motor parkirnya disamping gasebo jawabannya tidak keliatan bos bro maksud kalau emang parkirnya tempat parkir motor motor disanalah cuma tidak diliat bos diliat bos penjilat lu bang mikir bang,pantai bagus cuma banyak sampah jadi hilang indah sampah awas tidak jelas nyuruh motor parkir tempat parkir banyak unjung awas parkir samping belah gazebo tegur pindah motor dekat gazebo tanya awas kamu negor ngga negor tunjuk motor parkir samping gasebo jawab tidak liat bos bro maksud kalau emang parkir tempat parkir motor motor sana cuma tidak liat bos liat bos jilat lu bang mikir bang,negatif
Ema Lia,4,6 bulan lalu,pantai sedikit ada sampah tetapi pantai nya bagus sekali,pantai sedikit sampah pantai bagus sekali,pantai sedikit sampah pantai bagus sekali,positif
Valery Ery,1,6 bulan lalu,"Hari hati teman masuk parkiran pantai mutun, sudah bayar 70 ribu, tapi masih ada insiden seperti ini… kecewa dengan oknum di sana👎 …",hari hati teman masuk parkiran pantai mutun bayar ribu insiden kecewa oknum sana,hari hati teman masuk parkir pantai mutun bayar ribu insiden kecewa oknum sana,negatif
Lutfiya Fakhira,4,6 bulan lalu,Lumayan bagus tapi ramenya itulohh ya weekend sih waktu kesini juga wajar,lumayan bagus ramenya itulohh weekend waktu kesini wajar,lumayan bagus ramenya itulohh weekend waktu kesini wajar,positif
yang liu,4,Diedit 7 bulan lalu,"Ada pantai umum tepat di sebelah pantai pribadi, Anda hanya perlu tetap di kiri sepanjang jalan.",pantai umum tepat sebelah pantai pribadi perlu tetap kiri sepanjang jalan,pantai umum tepat belah pantai pribadi perlu tetap kiri panjang jalan,netral
Fahmi Maulana,1,7 bulan lalu,"Kami datang jam 6 pagi, belum ada yang pungutan apapun. Karna kurang puas sama pantainya, kami mutusin buat cabut, cari pantai lain. Ehh pas keluar ada yang minta 150k buat 3 orang 😡  (walau dibalikin lagi 50k sih).

Pantainya biasa aja, banyak yang jauh lebih bagus. Ombaknya terlalu tenang, airnya nggak terlalu jernih, banyak kapal.

Kalau begini doang 50k per orang (belum parkir, kamar mandi, dll) sih, kemahalan 🙂‍↔️🙂‍↔️",datang jam pagi belum pungutan apapun karna kurang puas sama pantainya mutusin buat cabut cari pantai ehh pas keluar minta k buat orang dibalikin k pantainya biasa banyak jauh lebih bagus ombaknya terlalu tenang airnya tidak terlalu jernih banyak kapal kalau begini doang k per orang belum parkir kamar mandi kemahalan,datang jam pagi belum pungut apa karna kurang puas sama pantai mutusin buat cabut cari pantai ehh pas keluar minta k buat orang dibalikin k pantai biasa banyak jauh lebih bagus ombak terlalu tenang air tidak terlalu jernih banyak kapal kalau begini doang k per orang belum parkir kamar mandi mahal,negatif
May Soraya,3,7 bulan lalu,"Tlong donk pihak pengelola mutun dan warga sekitar,kerang ,sampah atau apapun yg ada dipantai di bersihin,kmren brenang ga nyaman bnyk bnyk karang kecil2 GT,ada yg agak besar juga kalo ,ga nyaman bg brenangnya👌 …",tlong donk pihak pengelola mutun warga sekitarkerang sampah apapun dipantai bersihinkmren brenang tidak nyaman bnyk bnyk karang kecil gtada besar kalau tidak nyaman bg brenangnya,tlong donk pihak kelola mutun warga sekitarkerang sampah apa pantai bersihinkmren brenang tidak nyaman bnyk bnyk karang kecil gtada besar kalau tidak nyaman bg brenangnya,netral
Meihendri Hasnadi,4,7 bulan lalu,"Pantai nya bagus, sayang rada kotor",pantai bagus sayang rada kotor,pantai bagus sayang rada kotor,netral
philokalist,4,8 bulan lalu,"Pantai lumayan  mudah diakses, ada ruang ganti dan bilas.
Pantai lumayan cocok untuk keluarga dan bisa berenang juga.
Ada banyak gazebo untuk bersantai, bisa menikmati pemandangan dengan nyaman jika kondisi tidak terlalu ramai (karena jika ramai banyak yg bawa speaker sendiri dan pasang musik sesukanya dengan volume ala konser)",pantai lumayan mudah diakses ruang ganti bilas pantai lumayan cocok keluarga berenang banyak gazebo bersantai menikmati pemandangan nyaman kondisi tidak terlalu ramai ramai banyak bawa speaker sendiri pasang musik sesukanya volume ala konser,pantai lumayan mudah akses ruang ganti bilas pantai lumayan cocok keluarga renang banyak gazebo santa nikmat pandang nyaman kondisi tidak terlalu ramai ramai banyak bawa speaker sendiri pasang musik suka volume ala konser,netral
Welly Mukti,5,8 bulan lalu,rumah yang indah dan nyaman,rumah indah nyaman,rumah indah nyaman,positif
niken susanti,3,8 bulan lalu,Kenapa sekarang jadi kotor...,sekarang jadi kotor,sekarang jadi kotor,negatif
heri sumardi,4,Diedit 8 bulan lalu,Aman dan nyaman untuk anak-anak berenang dan bermain pasir,aman nyaman anakanak berenang bermain pasir,aman nyaman anakanak renang main pasir,positif
akhmad kurniawan,5,8 bulan lalu,Bagus,bagus,bagus,positif
Wigita Nana,1,8 bulan lalu,"Tiket masuk mahal 35rb,mobil 10rb,parkir masih byr lagi,duduk bayar 100rb,nyebrang byr 200rb,ya cukup sekali ajalah kesini.",tiket masuk mahal rbmobil rbparkir byr lagiduduk bayar rbnyebrang byr rbya cukup sekali ajalah kesini,tiket masuk mahal rbmobil rbparkir byr lagiduduk bayar rbnyebrang byr rbya cukup sekali aja kesini,negatif
Ade Rinaldi,4,8 bulan lalu,Bagus cuma tempat bermain anak terbatas karena kedalaman pantai,bagus cuma tempat bermain anak terbatas kedalaman pantai,bagus cuma tempat main anak batas dalam pantai,positif
Venna fatika,5,8 bulan lalu,"Pantainya bersih, ombaknya ga terlalu besar cocok untuk bawa keluarga yang masih punya anak² kecil,",pantainya bersih ombaknya tidak terlalu besar cocok bawa keluarga punya anak kecil,pantai bersih ombak tidak terlalu besar cocok bawa keluarga punya anak kecil,netral
Nas Wandi,5,8 bulan lalu,Pantai selalu ramai di weekend,pantai selalu ramai weekend,pantai selalu ramai weekend,netral
Muharam Agustriawan,5,8 bulan lalu,"Pantai disini cocok untk anak-anak, karena ombak nya g terlalu besar",pantai disini cocok untk anakanak ombak g terlalu besar,pantai sini cocok untk anakanak ombak g terlalu besar,netral
Ichwan Chafidhuddin,5,9 bulan lalu,"Bawa rombongan dari jogja , kesini",bawa rombongan jogja kesini,bawa rombong jogja kesini,netral
Julia Yurif,5,Diedit 9 bulan lalu,"Pantainya baguss, lumayan rapi, kalau lagi hari liburr beehh rame betul wkwkk, better pas bukan hari libur, tapiiiiiii bintang 5 buat bapak yang punya perahu iniiii super ramah, jago ngefotoin",pantainya baguss lumayan rapi kalau hari liburr beehh rame betul wkwkk better pas bukan hari libur tapiiiiiii bintang buat bapak punya perahu iniiii super ramah jago ngefotoin,pantai baguss lumayan rapi kalau hari liburr beehh rame betul wkwkk better pas bukan hari libur tapiiiiiii bintang buat bapak punya perahu iniiii super ramah jago ngefotoin,positif
Riza Budiarto,5,9 bulan lalu,Sangat bagus. Apalagi kalau dikelola lebih baik.,sangat bagus kalau dikelola lebih baik,sangat bagus kalau kelola lebih baik,positif
Era Ladyna,4,9 bulan lalu,"Tiket 35.000, naik banana boat dan donat boat 30.000, banyak kapal bersandar, buat nyebrang pulau.. Kesini sore hari, ombak tidak besar..",tiket naik banana boat donat boat banyak kapal bersandar buat nyebrang pulau kesini sore hari ombak tidak besar,tiket naik banana boat donat boat banyak kapal sandar buat nyebrang pulau kesini sore hari ombak tidak besar,negatif
Sabar Ibrahim,2,9 bulan lalu,"Saya mengunjungi Pantai Mutun bersama rombongan anak-anak TK As Salam Sendangagung dari Lampung Tengah dengan harapan bisa menikmati suasana pantai yang menyenangkan. Namun, sayangnya, kondisi di lapangan sangat jauh dari harapan.

Air lautnya keruh dan kotor, bahkan terlihat seperti tidak pernah dibersihkan. Kebersihan secara umum juga sangat kurang terjaga. Banyak area yang tampak tidak terawat, dengan fasilitas yang tampaknya dibiarkan begitu saja.

Perjalanan jauh dari Lampung Tengah terasa sia-sia karena pantai ini tidak memberikan pengalaman yang layak untuk direkomendasikan, apalagi untuk anak-anak kecil yang butuh tempat bersih dan aman untuk bermain.

Sangat disayangkan, padahal Pantai Mutun dulu dikenal cukup baik. Tapi sekarang, kondisinya tidak lagi layak untuk jadi destinasi wisata keluarga.",mengunjungi pantai mutun bersama rombongan anakanak tk as salam sendangagung lampung tengah harapan menikmati suasana pantai menyenangkan sayangnya kondisi lapangan sangat jauh harapan air lautnya keruh kotor bahkan terlihat tidak pernah dibersihkan kebersihan umum sangat kurang terjaga banyak area tampak tidak terawat fasilitas tampaknya dibiarkan perjalanan jauh lampung tengah terasa siasia pantai tidak memberikan pengalaman layak direkomendasikan anakanak kecil butuh tempat bersih aman bermain sangat disayangkan padahal pantai mutun dulu dikenal cukup baik sekarang kondisinya tidak layak jadi destinasi wisata keluarga,unjung pantai mutun sama rombong anakanak tk as salam sendangagung lampung tengah harap nikmat suasana pantai senang sayang kondisi lapang sangat jauh harap air laut keruh kotor bahkan lihat tidak pernah bersih bersih umum sangat kurang jaga banyak area tampak tidak awat fasilitas tampak biar jalan jauh lampung tengah asa siasia pantai tidak beri alam layak rekomendasi anakanak kecil butuh tempat bersih aman main sangat sayang padahal pantai mutun dulu kenal cukup baik sekarang kondisi tidak layak jadi destinasi wisata keluarga,negatif
Octarina Ningrum,5,9 bulan lalu,"Fasilitas seperti pondok² tolong diperhatikan sudah banyak yg rusak..
Kebersihan kamar mandi jg, kalo sudah ramai pengunjung banyak bau² kurang enak",fasilitas pondok diperhatikan banyak rusak kebersihan kamar mandi jg kalau ramai pengunjung banyak bau kurang enak,fasilitas pondok perhati banyak rusak bersih kamar mandi jg kalau ramai unjung banyak bau kurang enak,positif
alife bata,5,Diedit 9 bulan lalu,"Pantai Mutun memang menawarkan pesona alam yang cukup menarik untuk dikunjungi. Dengan tiket masuk yang terbilang standar di angka Rp 35.000 per orang, ekspektasi akan pengalaman pantai yang menyenangkan tentu ada.

Sayangnya, sedikit pengalaman kurang mengenakkan justru datang dari area parkir. Meskipun tiket masuk sudah dibayar, kami masih diminta sejumlah uang parkir oleh petugas yang terasa tidak resmi. Ya, situasinya mirip seperti parkir di minimarket, di mana tarifnya ""seikhlasnya"". Jujur, ini menimbulkan sedikit kebingungan dan pertanyaan soal pengelolaan area pantai. Meskipun nominalnya mungkin tidak besar, praktik ini terasa kurang transparan dan bisa mengurangi kenyamanan pengunjung.

Untuk kelebihannya, Pantai Mutun sendiri cukup layak untuk dinikmati. Pemandangan lautnya lumayan indah, dengan pasir putih yang lembut di beberapa bagian. Ombaknya pun cenderung tenang, sehingga aman untuk bermain air, terutama bagi anak-anak. Tersedia juga pilihan untuk menyewa gazebo dengan harga berkisar antara Rp 100.000 hingga Rp 150.000. Gazebo ini tentu menjadi pilihan yang nyaman untuk bersantai bersama keluarga atau teman sambil menikmati pemandangan pantai.

Secara keseluruhan, Pantai Mutun punya potensi yang baik. Keindahan alamnya patut diapresiasi, dan fasilitas gazebo yang disewakan juga menambah kenyamanan. Namun, urusan parkir yang ""seikhlasnya"" ini perlu menjadi perhatian pengelola. Akan lebih baik jika ada tarif parkir resmi yang jelas, sehingga pengunjung tidak merasa ambigu dan lebih nyaman sejak awal kedatangan.

Rekomendasi:

Siapkan uang tunai lebih untuk biaya parkir ""seikhlasnya"".
Sewa gazebo jika Anda datang bersama rombongan atau ingin bersantai lebih lama.
Nikmati keindahan pantai dan ombaknya yang tenang.
Semoga pengalaman Anda di Pantai Mutun tetap menyenangkan, meskipun ada sedikit ""kejutan"" di area parkir.",pantai mutun memang menawarkan pesona alam cukup menarik dikunjungi tiket masuk terbilang standar angka rp per orang ekspektasi pengalaman pantai menyenangkan sayangnya sedikit pengalaman kurang mengenakkan justru datang area parkir meskipun tiket masuk dibayar diminta sejumlah uang parkir petugas terasa tidak resmi situasinya mirip parkir minimarket mana tarifnya seikhlasnya jujur menimbulkan sedikit kebingungan pertanyaan soal pengelolaan area pantai meskipun nominalnya mungkin tidak besar praktik terasa kurang transparan mengurangi kenyamanan pengunjung kelebihannya pantai mutun sendiri cukup layak dinikmati pemandangan lautnya lumayan indah pasir putih lembut beberapa bagian ombaknya cenderung tenang aman bermain air terutama anakanak tersedia pilihan menyewa gazebo harga berkisar rp hingga rp gazebo menjadi pilihan nyaman bersantai bersama keluarga teman menikmati pemandangan pantai keseluruhan pantai mutun punya potensi baik keindahan alamnya patut diapresiasi fasilitas gazebo disewakan menambah kenyamanan urusan parkir seikhlasnya perlu menjadi perhatian pengelola lebih baik tarif parkir resmi jelas pengunjung tidak merasa ambigu lebih nyaman sejak awal kedatangan rekomendasi siapkan uang tunai lebih biaya parkir seikhlasnya sewa gazebo datang bersama rombongan bersantai lebih lama nikmati keindahan pantai ombaknya tenang semoga pengalaman pantai mutun tetap menyenangkan meskipun sedikit kejutan area parkir,pantai mutun memang tawar pesona alam cukup tarik kunjung tiket masuk bilang standar angka rp per orang ekspektasi alam pantai senang sayang sedikit alam kurang enak justru datang area parkir meski tiket masuk bayar minta jumlah uang parkir tugas asa tidak resmi situasi mirip parkir minimarket mana tarif ikhlas jujur timbul sedikit bingung tanya soal kelola area pantai meski nominal mungkin tidak besar praktik asa kurang transparan kurang nyaman unjung lebih pantai mutun sendiri cukup layak nikmat pandang laut lumayan indah pasir putih lembut beberapa bagi ombak cenderung tenang aman main air utama anakanak sedia pilih sewa gazebo harga kisar rp hingga rp gazebo jadi pilih nyaman santa sama keluarga teman nikmat pandang pantai seluruh pantai mutun punya potensi baik indah alam patut apresiasi fasilitas gazebo sewa tambah nyaman urus parkir ikhlas perlu jadi perhati kelola lebih baik tarif parkir resmi jelas unjung tidak rasa ambigu lebih nyaman sejak awal datang rekomendasi siap uang tunai lebih biaya parkir ikhlas sewa gazebo datang sama rombong santa lebih lama nikmat indah pantai ombak tenang moga alam pantai mutun tetap senang meski sedikit kejut area parkir,positif
Caecilia Anabella,5,Diedit 9 bulan lalu,"Sedikit kotor tapi masih jernih, sayang nya pada saat kesana sedang pasang",sedikit kotor jernih sayang kesana sedang pasang,sedikit kotor jernih sayang kesana sedang pasang,negatif
SATRIA,5,9 bulan lalu,Di sini pantainya bagus dan indah,sini pantainya bagus indah,sini pantai bagus indah,positif
Muhamad jidan maulana Jidanmaulana,4,10 bulan lalu,Bagus,bagus,bagus,positif
Pak Djo,5,10 bulan lalu,"Pantai di Lampung ,suasananya tenang ,pas untuk rekreasi keluarga. Pemandangan di sore hari,sangat menyegarkan ,pas utk melepas penat setelah sibuk mencari nafkah.👍🙏😇🥰 …",pantai lampung suasananya tenang pas rekreasi keluarga pemandangan sore harisangat menyegarkan pas melepas penat sibuk mencari nafkah,pantai lampung suasana tenang pas rekreasi keluarga pandang sore harisangat segar pas lepas penat sibuk cari nafkah,netral
Leri Antoni,5,10 bulan lalu,Mantap,mantap,mantap,positif
